"well","numBeats","numGoodBeats","RR","QRS","QTstart","QT_tangent_A","QT_tangent_B","QT_simple_A","QT_simple_B","QTc_tangent_A","QTc_tangent_B","QTc_simple_A","QTc_simple_B","Tamp_A","Tamp_B","noise","saveBeats","includeBeats","invertMeanBeatTF","notes"
"A01",162,1,178.3,20.7,134.1,234.8,247.2,237.4,247.5,417.2,439.1,421.8,439.7,87.5,98.3,NA,TRUE,"Exclude",TRUE,""
"A02",156,0,185.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Undecided",TRUE,""
"A03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
"A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Undecided",FALSE,""
