Well	saveBeats	includeBeats	topSelect	cutoff	noiseCutoff	preTime	postTime	notes
H6	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
A7	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
B7	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
C7	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
D7	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
E7	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
F7	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
G7	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
H7	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
A8	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
B8	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
C8	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
D8	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
E8	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
F8	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
G8	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
H8	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
A9	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
B9	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
C9	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
D9	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
E9	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
F9	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
G9	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
H9	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
A10	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
B10	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
C10	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
D10	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
E10	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
F10	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
G10	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
H10	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
A11	FALSE	Undecided	FALSE	NA	10	0.2	0.8	
